episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
119,6,7,"""Kakashi Chronicles ~Boys' Life on the Battlefield~ Part 1""Transcription: ""Kakashi Gaiden ~Senjō no bōizuraifu~ Zenpen"" (Japanese: カカシ外伝～戦場のボーイズライフ～前編)",Yasumi Mikamoto,Junki Takegami,2009-07-30,2013-01-14,8,676,"More than ten years ago, the rule of the Five Great Shinobi Nations was destabilized, throwing the world into a conflict later to be known as the Third Great Ninja War.The future Fourth Hokage Minato Namikaze assigns young Kakashi, Obito of the Uchiha clan, and Rin, a medical ninja, on a mission to Kannabi Bridge..."
120,6,8,"""Kakashi Chronicles ~Boys' Life on the Battlefield~ Part 2""Transcription: ""Kakashi Gaiden ~Senjō no bōizuraifu~ Kōhen"" (Japanese: カカシ外伝～戦場のボーイズライフ～後編)",Masahiro Takada,Junki Takegami,2009-07-30,2013-01-14,8.4,1021,"Obito ignores Kakashi's order to continue with the mission and leaves to save Rin, who was kidnapped by the Rock ninja. But the enemies detect Obito's arrival and defeat him. Kakashi arrives at the last minute and saves Obito..."
121,6,9,"""Assemble""Transcription: ""Ugokidasumono-tachi"" (Japanese: 動き出すものたち)",Masayuki Matsumoto,Yuka Miyata,2009-08-06,2013-01-19,7.7,357,"After hunting down the Four Tails, Itachi and Kisame are summoned by the leader of the Akatsuki. The leader announces the death of Orochimaru to the gathered members and the possibility of his killer, Sasuke, setting his sights on the Akatsuki organization...."
122,6,10,"""The Hunt""Transcription: ""Tansaku"" (Japanese: 探索)",Hiroshi Kimura,Yuka Miyata,2009-08-13,2013-01-19,7.8,350,"Under Kakashi's command, the Leaf ninja set off to find Itachi. Using Kakashi's ninja hounds, they gather as much information as they can on Itachi. Meanwhile, the members of the Hebi also scatter to look for information on Itachi. Led by the ninja hound tracking Sasuke's scent, Sakura arrives in town and draws near to Karin."
123,6,11,"""Clash!""Transcription: ""Gekitotsu!"" (Japanese: 激突!)",Toshiyuki Tsuru,Toshiyuki Tsuru,2009-08-20,2013-01-19,8.2,493,"Upon encountering one another, Sasuke and Deidara engage in battle. After exchanging a few blows to test Sasuke's strength, Deidara conjures up his specialty clay dragon and wages long-range attacks against Sasuke from high above. With Tobi's backup support, the battle seems to be going to Deidara."
124,6,12,"""Art""Transcription: ""Geijutsu"" (Japanese: 芸術)",Kunitoshi Okajima,Junki Takegami,2009-08-27,2013-01-19,7.9,546,"Determined to destroy the Sharingan to rid himself of the taste of defeat he received from Itachi, Deidara unleashes his biggest attack, the C4 Karura. Created to kill Itachi, this fierce weapon is capable of destroying living beings from the inside using millions of nano-sized bombs. Can Sasuke escape this attack fueled by Deidara's determination to destroy the Sharingan?"
125,6,13,"""Disappearance""Transcription: ""Shōshitsu"" (Japanese: 消失)",Yuki Kinoshita,Yasuyuki Suzuki,2009-09-03,2013-01-21,8.2,391,"Sasuke goes missing after being caught by Deidara's suicidal bombing. Sensing his disappearance, Jugo, Karin, and Suigetsu race to Sasuke's last location, where the three Hebi members discover...?"
126,6,14,"""Twilight""Transcription: ""Tasogare"" (Japanese: 黄昏)",Kiyomu Fukuda,Masahiro Hikokubo,2009-09-10,2013-01-21,8.4,414,"Leaf ninja, she notifies the others and the Hebi members quickly leave the inn. To allow Sasuke to focus on his coming battle with Itachi, Karin comes up with a plan to keep the Leaf ninja occupied."
127,6,15,"""Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 1""Transcription: ""Dokonjō ninden ~Jiraiya ninpōchō~ Zenpen"" (Japanese: ド根性忍伝～自来也忍法帖～前編)",Shuu Watanabe,Junki Takegami,2009-09-24,2013-01-21,8.1,373,"During the reign of the Second Hokage, the young Jiraiya, Orochimaru, and Tsunade are assigned to Hiruzen Sarutobi's platoon as Genins. While training, Jiraiya accidentally transports himself to Mount Myoboku, opening the path to fulfill his destiny."
128,6,16,"""Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 2""Transcription: ""Dokonjō ninden ~Jiraiya ninpōchō~ Kōhen"" (Japanese: ド根性忍伝～自来也忍法帖～後編)",Shigeharu Takahashi,Junki Takegami,2009-09-24,2013-01-21,8.4,453,Jiraiya's journey to seek out a student is postponed due to the outbreak of the Third Great Ninja War. Jiraiya joins Tsunade and Orochimaru to battle the Village Hidden in the Rain.
129,6,17,"""Infiltrate! The Village Hidden in the Rain""Transcription: ""Sennyū! Amegakure no Sato"" (Japanese: 潜入! 雨隠れの里)",Yuusuke Onoda,Shin Yoshida,2009-10-08,2013-01-26,8,364,Jiraiya successfully infiltrates the Hidden Rain Village by hiding inside the toad Gamagoro. He sets out to gather information but finds no indications of a civil war occurring within the village.
130,6,18,"""The Man Who Became God""Transcription: ""Kami to natta Otoko"" (Japanese: 神となった男)",Hiroshi Kimura,Shin Yoshida,2009-10-08,2013-01-26,8.2,481,"Foreseeing a possible battle, Jiraiya takes precautionary measures by storage releasing the scroll toad that commands the key to Naruto's Eight-Signed Seal."
131,6,19,"""Honored Sage Mode!""Transcription: ""Hatsudō! Sennin Mōdo"" (Japanese: 発動! 仙人モード)",Akitoshi Yokoyama,Yasuyuki Suzuki,2009-10-15,2013-01-26,8.1,711,"Jiraiya battles to defeat his former student Pain, who is now driven by his twisted ideals as an Akatsuki member."
132,6,20,"""In Attendance, the Six Paths of Pain""Transcription: ""Pein Rikudō, kenzan"" (Japanese: ペイン六道、見参)",Fujiaki Asari,Yuka Miyata,2009-10-22,2013-01-26,8.3,856,Jiraiya completes his Sage Mode transformation to battle the three Pains.
133,6,21,"""The Tale of Jiraiya the Gallant""Transcription: ""Jiraiya gōketsu monogatari"" (Japanese: 自来也豪傑物語)",Masaaki Kumagai,Junki Takegami,2009-10-29,2013-01-28,9.2,2395,"Having lost his arm, Jiraiya is outmatched by the six Pains now appearing before him. Of the six, the one called Tendo is revealed to be Jiraiya's former student Yahiko. Jiraiya is still puzzled by the Rinnegan's true powers, but before he can gather his thoughts, he is forced back into battle."
134,6,22,"""Banquet Invitation""Transcription: ""Utage e no izanai"" (Japanese: 宴への誘い)",Kiyomu Fukuda,Masahiro Hikokubo,2009-11-05,2013-01-28,8.3,393,"As Sasuke proceeds to Itachi's hideout, Tobi messes with Naruto."
135,6,23,"""The Longest Moment""Transcription: ""Nagaki toki no naka de..."" (Japanese: 長き瞬間の中で...)",Atsushi Nigorikawa,Shin Yoshida,2009-11-19,2013-01-28,8.4,404,"While Itachi waits for Sasuke in the Uchiha hideout, he recalls the past incident that led to his defection from the Leaf Village. When Sasuke arrives, the fated battle begins between the two brothers."
136,6,24,"""The Light & Dark of the Mangekyo Sharingan""Transcription: ""Mangekyō Sharingan no hikari to yami"" (Japanese: 万華鏡写輪眼の光と闇)",Shigeharu Takahashi,Yasuyuki Suzuki,2009-11-19,2013-01-28,8.1,785,"Following their fierce genjutsu battle with the Sharingan, Itachi explains the secret behind the most powerful ocular jutsu, the Mangekyo Sharingan, and the history of the Uchiha clan..."
137,6,25,"""Amaterasu!"" (Japanese: 天照)",Yuusuke Onoda,Yuka Miyata,2009-11-26,2013-02-02,8.3,931,"Sasuke loses his left eye to Itachi, but it turns out to be a genjutsu created by the Mangekyo Sharingan. Breaking free of the Tsukuyomi by force, Sasuke makes a furious comeback against the injured Itachi."
138,6,26,"""The End""Transcription: ""Shūen"" (Japanese: 終焉)",Masahiko Murata,Masahiro Hikokubo,2009-12-03,2013-02-02,8.8,1213,"At the climax of the battle, both Itachi and Sasuke run out of chakra. However, Sasuke reveals that his actions up until now were only a preparation for his final jutsu."
139,6,27,"""The Mystery of Tobi""Transcription: ""Tobi no nazo"" (Japanese: トビの謎)",Hiroshi Kimura,Shin Yoshida,2009-12-10,2013-02-02,8.3,505,"Naruto and his comrades find themselves held up by Tobi, whose strange jutsu is more than just a simple genjutsu."
140,6,28,"""Fate""Transcription: ""Innen"" (Japanese: 因縁)",Minoru Yamaoka,Yasuyuki Suzuki,2009-12-17,2013-02-02,8.1,777,"In the Akatsuki hideout Sasuke comes face to face with Madara. Announcing himself as Itachi's accomplice from that fateful night, Madara goes on to tell Sasuke the truth about Itachi that he could never have known."
141,6,29,"""Truth""Transcription: ""Shinjitsu"" (Japanese: 真実)",Shuu Watanabe,Yuka Miyata,2009-12-24,2013-02-04,8.3,893,"The Uchiha clan was plotting a coup d'etat. The story as told by Madara leaves Sasuke at a loss for words. Because of his gifted talent, Itachi was forced to suffer, torn between his loyalties to the Leaf Village and the Uchiha clan."
142,6,30,"""Battle of Unraikyo""Transcription: ""Unraikyō no tatakai"" (Japanese: 雲雷峡の闘い)",Kiyomu Fukuda,Yasuyuki Suzuki,2010-01-07,2013-02-04,7.9,341,"Flame from the Amaterasu still remains on the battlefield as Naruto and his teammates continue to search for Sasuke. But despite the search team's best efforts, they cannot find any trace of him."
143,6,31,"""The Eight-Tails vs. Sasuke""Transcription: ""Hachibi' tai 'Sasuke"" (Japanese: 「八尾」対「サスケ」)",Atsushi Nigorikawa,Shin Yoshida,2010-01-14,2013-02-04,8.5,437,"The Taka split up with the Akatsuki to hunt down the remaining Tailed Beast. At the Land of Lightning they go up against Killer Bee, whose attack utilizing Lightning Style and seven blades proves to be more than a match for them."
144,7,1,"""Wanderer""Transcription: ""Fūraibō"" (Japanese: 風来坊)",Masaaki Kumagai,Junki Takegami,2010-01-21,2013-02-04,6.2,243,"The Leaf ninja fail to capture Itachi and also lose track of Sasuke. Calling off their pursuit, the team is heading back to the village when an urgent assignment from Lady Tsunade comes in. The mission stems from a treaty between the Third Hokage and the En no Gyoja of the Tsuchigumo Clan..."
145,7,2,"""Successor of the Forbidden Jutsu""Transcription: ""Kinjutsu no keishōsha"" (Japanese: 禁術の継承者)",Shigeharu Takahashi,Shin Yoshida,2010-01-28,2013-02-09,6.2,236,"Naruto and his teammates are assigned to escort Hotaru, En no Gyoja's granddaughter, to the Tsuchigumo Clan's village located in the mountains. But Hotaru's mind is still attached to Utakata, who left after Naruto's arrival..."
146,7,3,"""The Successor's Wish""Transcription: ""Keishōsha no omoi"" (Japanese: 継承者の想い)",Hiroshi Kimura,Yuka Miyata,2010-02-04,2013-02-09,6.3,230,"Having arrived at the village, Hotaru parts with Naruto and his team. But the Magaki Troops are one step ahead and threaten Hotaru to hand over the forbidden jutsu. Utakata appears, and Shiranami recognizes him as a bounty listed in the Hidden Mist's bingo book..."
147,7,4,"""Rogue Ninja's Past""Transcription: ""Nukenin no kako"" (Japanese: 抜け忍の過去)",Yuki Kinoshita,Yasuyuki Suzuki,2010-02-11,2013-02-09,6.3,232,"Yamato and Sai recognize their opponents as trackers from the Hidden Mist Village, but Naruto attacks without questioning. The Hidden Mist demands Utakata be handed over to them in exchange for Hotaru."
148,7,5,"""Heir to Darkness""Transcription: ""Yami no kōkeisha"" (Japanese: 闇の後継者)",Eiko Nishi,Shin Yoshida,2010-02-18,2013-02-09,6.1,229,"Hotaru is brought back to the fort in Mount Katsuragi. Naruto, outraged to learn the forbidden jutsu was embedded inside Hotaru, demands an explanation from Tonbei. But it was none other than Hotaru herself who wished for this."
149,7,6,"""Parting""Transcription: ""Betsuri"" (Japanese: 別離)",Shuu Watanabe,Masahiro Hikokubo,2010-02-25,2013-02-16,6.3,228,"Believing Shiranami's story, Hotaru writes a parting letter addressed to Utakata and leaves Mount Katsuragi. Meanwhile Naruto, still searching for Shiranami, falls into the Magaki Troops' trap but manages to escape thanks to help from Utakata."
150,7,7,"""The Forbidden Jutsu Released""Transcription: ""Kinjutsu hatsudō"" (Japanese: 禁術発動)",Kiyomu Fukuda,Yasuyuki Suzuki,2010-03-04,2013-02-16,6.4,232,"Naruto and Utakata successfully enter the Tsuchigumo village thanks to help from Sakura, Sai, and Yamato. Utakata senses the chakra filling the atmosphere and terrain behaving oddly, and together with Naruto, they enter the cave where the anomaly is originating."
151,7,8,"""Master and Student""Transcription: ""Shitei"" (Japanese: 師弟)",Yuusuke Onoda,Yasuyuki Suzuki,2010-03-11,2013-02-16,6.5,240,Naruto has a strange nightmare several days after their failure to bring Sasuke home. Even after he awakens wisps of the dream keep haunting him.
152,8,1,"""Somber News""Transcription: ""Hihō"" (Japanese: 悲報)",Naoki Horiuchi,Yuka Miyata,2010-03-25,2013-02-16,8.2,366,"Returning from the mission, Naruto recollects his strange encounter with Itachi. What did the now deceased Itachi wish to tell him? As Naruto ponders this, Kakashi makes an abrupt visit."
153,8,2,"""Following the Master's Shadow""Transcription: ""Shi no Kage o Otte"" (Japanese: 師の影を追って)",Masaaki Kumagai,Yuka Miyata,2010-03-25,2013-02-23,8.5,413,"Naruto wanders the streets of the Leaf Village, grief stricken over the death of Jiraiya. Unable to overcome his feeling of loss, Naruto traces back through his memories of Jiraiya. What can help the heartbroken Naruto get back on his feet?"
154,8,3,"""Decryption""Transcription: ""Angō Kaidoku"" (Japanese: 暗号解読)",Shigeharu Takahashi,Shin Yoshida,2010-04-08,2013-02-23,7.9,349,"Naruto and his friends successfully decipher the code Jiraiya left behind with the help of some information Naruto has. The crew immediately calls Fukasaku over, but the message is not enough to solve the mystery of Pain."
155,8,4,"""The First Challenge""Transcription: ""Daiichi no Kadai"" (Japanese: 第一の課題)",Hiroshi Kimura,Shin Yoshida,2010-04-08,2013-02-23,7.9,349,"At Mount Myoboku, Naruto begins his Sage Jutsu training under Fukasaku. The first challenge is ""Don't move."" Fukasaku explains that an extensive amount of time is necessary in order to take in nature energy."
156,8,5,"""Surpassing the Master""Transcription: ""Shi o Koeru Toki"" (Japanese: 師を超えるとき)",Yuki Kinoshita,Yuka Miyata,2010-04-15,2013-02-23,7.7,347,"Naruto continues his Sage training at Mount Myoboku, but with very slow progress. Fukasaku runs out of patience and suggests they move on to the next training..."
157,8,6,"""Assault on the Leaf Village!""Transcription: ""Konoha Shūgeki!"" (Japanese: 木ノ葉襲撃!)",Hideyuki Yoshida,Masahiro Hikokubo,2010-04-22,2013-03-02,8.1,365,"Shikamaru and the others wait for the information Jiraiya brought back to be analyzed. The Hidden Leaf ninja continue their data analysis, when disaster strikes the village"
158,8,7,"""Power to Believe""Transcription: ""Shinjiru Chikara"" (Japanese: 信じる力)",Kiyomu Fukuda,Shin Yoshida,2010-04-29,2013-03-02,8.4,393,"The Leaf Village is under heavy attack from Pain and Konan. Hearing the Akatsuki attack, Tsunade attempts to contact Fukasaku..."
159,8,8,"""Pain vs. Kakashi""Transcription: ""Pein vs Kakashi"" (Japanese: ペインvsカカシ)",Yoshihiro Sugai,Yuka Miyata,2010-05-06,2013-03-02,8.4,964,"In one area of the village, Kakashi enters battle against Tendo Pain, but he can't keep up with Tendo's mysterious attacks. Shurado joins the fight, and Kakashi struggles with the two-on-one disadvantage."
160,8,9,"""Mystery of Pain""Transcription: ""Pein no Nazo"" (Japanese: ペインの謎)",Naoki Horiuchi,Yasuyuki Suzuki,2010-05-13,2013-03-02,8.4,398,"The Leaf Village is under heavy attack from the Akatsuki. Underneath the village Danzo takes action to achieve his ambition. Meanwhile, searching through the Rain ninja's mind, Inoichi Yamanaka is about to stumble upon valuable information."
161,8,10,"""Surname Is Sarutobi. Given Name, Konohamaru!""Transcription: ""Sei wa Sarutobi, Na wa Konohamaru!"" (Japanese: 姓は猿飛、名は木ノ葉丸!)",Shigeharu Takahashi,Masahiro Hikokubo,2010-05-20,2013-03-09,8.5,434,Konohamaru Sarutobi fights Naraka Pain.
162,8,11,"""Pain to the World""Transcription: ""Sekai ni Itami o"" (Japanese: 世界に痛みを)",Masaaki Kumagai,Shin Yoshida,2010-05-27,2013-03-09,8.3,866,"Tsunade comes face to face with Tendo Pain on the rooftop of the Hokage mansion. When Pain demands the Nine Tails be handed over, Tsunade refuses."
163,8,12,"""Explode! Sage Mode""Transcription: ""Bakuhatsu! Sennin Mōdo"" (Japanese: 爆発! 仙人モード)",Yuki Kinoshita,Masahiro Hikokubo,2010-06-03,2013-03-09,8.3,875,"Sensing danger at hand, Naruto, along with Fukasaku, rushes back to the Leaf Village from Mount Myoboku. But what they see is the remains of the Leaf Village, leveled beyond recognition."
164,8,13,"""Danger! Sage Mode Limit Reached""Transcription: ""Pinchi! Kieta Sennin Mōdo"" (Japanese: 危機! 消えた仙人モード)",Yasuhiro Minami,Shin Yoshida,2010-06-10,2013-03-09,8.6,1100,"Naruto hits Pain with his Sage Jutsu-perfected Wind Style Rasen Shuriken. Although he succeeds in defeating Ningendo, the remaining Pain quickly confronts him."
165,8,14,"""Nine-Tails, Captured!""Transcription: ""Kyūbi Hokaku Kanryō"" (Japanese: 九尾捕獲完了)",Hiroshi Kimura,Shin Yoshida,2010-06-17,2013-03-16,8.5,1051,"Gamabunta and the other toads are defeated while Naruto is captured by Pain. Naruto attempts to fight back with Sage Jutsu, but Gakido sucks out his chakra, forcing him to go out of Sage Mode. Fukasaku and Shima prepare to activate genjutsu, the same one they used to assist Jiraiya, this time to break the Rinnegan's link. Meanwhile, to not let Shizune's death be in vain, Shikamaru and the other Leaf ninja vow to find the real Pain. As they prepare to gather further information, Inoichi Yamanaka comes to an important realization..."
166,8,15,"""Confessions""Transcription: ""Kokuhaku"" (Japanese: 告白)",Toshiyuki Tsuru,Toshiyuki Tsuru,2010-06-24,2013-03-16,8.8,1182,"Fukasaku and Shima fall in battle, leaving Naruto open to be captured by Tendo Pain. Just when all is thought to be lost, Hinata, who was following the battle with her Byakugan, steps in to face Pain."
167,8,16,"""Planetary Devastation""Transcription: ""Chibaku Tensei"" (Japanese: 地爆天星)",Atsushi Wakabayashi,Yuka Miyata,2010-07-01,2013-03-16,8.8,1303,Naruto loses himself after seeing Hinata taken out right before his eyes. His anger triggers the Nine Tails' chakra to go out of control.
168,8,17,"""The Fourth Hokage""Transcription: ""Yondaime Hokage"" (Japanese: 四代目火影)",Kiyomu Fukuda,Masahiro Hikokubo,2010-07-15,2013-03-16,8.8,1229,"Naruto meets Minato Namikaze, the Fourth Hokage, inside his inner world."
169,8,18,"""The Two Students""Transcription: ""Futari no Deshi"" (Japanese: ふたりの弟子)",Yoshihiro Sugai,Shin Yoshida,2010-07-22,2013-03-23,8.5,441,"By chance, Naruto and Sora get Asuma to coach them. Under the guidance of Asuma's iron fist, they immerse themselves in training with Wind Chakra."
170,8,19,"""Big Adventure! The Quest for the Fourth Hokage's Legacy - Part 1""Transcription: ""Daibōken! Yondaime no Isan o Sagase - Zenpen"" (Japanese: 大冒険! 四代目の遺産を探せ・前編)",Naoki Horiuchi,Junki Takegami,2010-07-29,2013-03-23,6.1,242,"The story goes back to right before the start of the final rounds of the Chunin Exam. As Naruto trains in preparation for his upcoming match, he hears Jiraiya speak of ""the Fourth Hokage's legacy."""
171,8,20,"""Big Adventure! The Quest for the Fourth Hokage's Legacy - Part 2""Transcription: ""Daibōken! Yondaime no Isan o Sagase - Kōhen"" (Japanese: 大冒険! 四代目の遺産を探せ・後編)",Yuki Kinoshita,Junki Takegami,2010-07-29,2013-03-23,6,240,Naruto and the others take on the oncoming challenges in order to find the secret technique and break the previous record set by the Fourth Hokage. But Naruto's impulsive action leads the group into various troubles.
172,8,21,"""Meeting""Transcription: ""Deai"" (Japanese: 出逢い)",Takahiro Okao,Shin Yoshida,2010-08-05,2013-03-23,8,363,"Naruto comes face to face with Nagato and Konan. Naruto, wanting to confront the problem of their hate-filled ninja world, asks to hear Nagato's side of the story before coming up with an answer."
173,8,22,"""Origin of Pain""Transcription: ""Pein Tanjō"" (Japanese: ペイン誕生)",Masaaki Kumagai,Masahiro Hikokubo,2010-08-12,2013-03-30,8.5,422,"To fulfill their dream, Nagato, Yahiko, and Konan walk through the war zone in search of Jiraiya, hoping to learn ninjutsu from him. After completing their training, the three form an organization with Yahiko as its leader."
174,8,23,"""Tale of Naruto Uzumaki""Transcription: ""Uzumaki Naruto Monogatari"" (Japanese: うずまきナルト物語)",Kanryou Kishikawa,Yasuyuki Suzuki,2010-08-19,2013-03-30,8.1,535,"Naruto remains silent after learning of Nagato's painful past. Nagato claims true peace cannot exist in this cursed world, dismissing Jiraiya's ideal as nothing more than wishful thinking."
175,8,24,"""Hero of the Leaf""Transcription: ""Konoha no Eiyū"" (Japanese: 木ノ葉の英雄)",Hiroshi Kimura,Yuka Miyata,2010-08-26,2013-03-30,8.5,1142,"Nagato, having decided to believe in Naruto's word, performs his last forbidden jutsu: Gedo Art Rinne Rebirth."
176,9,1,"""Rookie Instructor Iruka""Transcription: ""Shinmai Kyōshi Iruka"" (Japanese: 新米教師イルカ)",Kiyomu Fukuda,Shin Yoshida,2010-09-02,2013-03-30,6.9,245,"The Leaf Village is left in ruins in the wake of Pain's assault on the village. While cleaning through the remains of Ninja Academy, Iruka finds an old pillar and recognizes it as a memoir from Naruto's early years at the academy."
177,9,2,"""Iruka's Ordeal""Transcription: ""Iruka no Shiren"" (Japanese: イルカの試練)",Naoki Horiuchi,Shin Yoshida,2010-09-09,2013-04-06,6.7,234,"Naruto spends his days competing with Sasuke, the academy's star student, only to screw up and be the laughingstock of the class. Due to the childhood trauma of losing his parents to the Nine-Tailed Fox, Iruka finds it difficult to interact with Naruto as his student."
178,9,3,"""Iruka's Decision""Transcription: ""Iruka no Ketsui"" (Japanese: イルカの決意)",Atsushi Nigorikawa,Shin Yoshida,2010-09-16,2013-04-06,6.8,235,"Naruto takes up his classmates' dare to venture into the forest and retrieve an item from dead enemy ninja, unaware that the forest is dangerous."
179,9,4,"""Kakashi Hatake, The Jonin in Charge""Transcription: ""Tantō Jōnin Hatake Kakashi"" (Japanese: 担当上忍はたけカカシ)",Hiroshi Kimura,Junki Takegami,2010-09-30,2013-04-06,6.6,237,"An emergency council is held before the Feudal Lord of the Land of Fire. The topic is to discuss plans to rebuild the Leaf Village, and Danzo strongly urges the council to select a new Hokage to replace Tsunade."
180,9,5,"""Inari's Courage Put to the Test""Transcription: ""Inari, Tamesareru Yūki"" (Japanese: イナリ、試される勇気)",Gorou Sessha,Yuka Miyata,2010-10-07,2013-04-06,5.9,232,"The Leaf ninja work to rebuild the Hidden Leaf Village. While helping with the restoration, Naruto and Sakura are reunited with two old friends--the carpenter Tazuna and his grandson Inari from the Land of Waves."
181,9,6,"""Naruto's School of Revenge""Transcription: ""Naruto, Adauchi Shinanjuku"" (Japanese: ナルト、仇討ち指南塾)",Shuu Watanabe,Yasuyuki Suzuki,2010-10-14,2013-04-13,5.8,227,"Team 7 stops in a town for some rest, where they encounter a man named Tsukado who is out to avenge the death of his relative."
182,9,7,"""Gaara's Bond""Transcription: ""Gaara 'Kizuna'"" (Japanese: 我愛羅『絆』)",Kanryou Kishikawa,Masahiro Hikokubo,2010-10-21,2013-04-13,6.5,227,"Gaara, recalling a past mission carried out with the Leaf's Team 7, points out that the Leaf Village has Naruto with them."
183,9,8,"""Naruto: Outbreak""Transcription: ""Naruto Autobureiku"" (Japanese: ナルト・アウトブレイク)",Maki Odaira,Daisuke Watanabe,2010-10-28,2013-04-13,6,222,"Naruto visits Sakura, who is caring for Tsunade. Sakura recalls an incident that took place three years before, in which she collapsed from symptoms that resembled a disease caused by a mysterious virus."
184,9,9,"""Deploy! Team Tenten""Transcription: ""Shutsugeki! Tenten-han"" (Japanese: 出撃! テンテン班)",Shigeru Mita,Katsuhiko Chiba,2010-11-04,2013-04-13,5.9,215,Tenten and Neji head for the Leaf Ninja Tool Research Lab to procure ninja tools necessary for rebuilding the Leaf Village.
185,9,10,"""Animal District""Transcription: ""Animaru Bangaichi"" (Japanese: アニマル番外地)",Kiyomu Fukuda,Katsuhiko Chiba,2010-11-11,2013-04-20,5.3,233,"Condor, the ostrich previously captured by Team 7, now lives in a forest with baby ostriches. Since his last escape, Condor has trained himself to become a ninja ostrich."
186,9,11,"""Ah, the Medicine of Youth""Transcription: ""Aa, Seishun no Kanpōgan"" (Japanese: ああ、青春の漢方丸)",Masaaki Kumagai,Daisuke Watanabe,2010-11-18,2013-04-27,5.9,217,"After accidentally finishing off Lee's last special youth drink, Naruto asks Guy to make more, only to learn one of its key ingredients, the Jofuku Flower, is out of stock. Naruto is determined to get the Jofuku Flower for Lee's sake."
187,9,12,"""Gutsy Master and Student: The Training""Transcription: ""Dokonjō Shitei Shugyōhen"" (Japanese: ド根性師弟修業編)",Atsushi Nigorikawa,Junki Takegami,2010-11-25,2013-05-04,6.1,218,Jiraiya takes Naruto to a village in the hopes of teaching him how to counter the Sharingan's genjutsu attack.
188,9,13,"""Record of the Ninja Gutsy Master and Student""Transcription: ""Dokonjō Shitei Ninpūroku"" (Japanese: ド根性師弟忍風録)",Naoki Horiuchi,Junki Takegami,2010-11-25,2013-05-11,6.1,213,"Naruto and Jiraiya attempt to save a village from Kandachi, a former right-hand man to Hanzo of the Hidden Rain."
189,9,14,"""Sasuke's Paw Encyclopedia""Transcription: ""Sasuke no Nikukyū Taizen"" (Japanese: サスケの肉球大全)",Hiroshi Kimura,Masahiro Hikokubo,2010-12-02,2013-05-18,5.7,217,"Granny Cat requests that Sasuke and Team 7 collect the last cat paw print necessary to complete the ""Paw Encyclopedia."""
190,9,15,"""Naruto and the Old Soldier""Transcription: ""Naruto to Rōhei"" (Japanese: ナルトと老兵)",Maki Odaira,Katsuhiko Chiba,2010-12-09,2013-05-25,6.2,223,"Naruto is assigned to a team led by jonin Hayama to patrol the north border of the Leaf Village. One of his teammates is Kosuke, an old man who has been a genin for over fifty years, earning him the title ""Eternal Genin."""
191,9,16,"""Kakashi Love Song""Transcription: ""Kakashi Koiuta"" (Japanese: カカシ恋歌)",Shuu Watanabe,Yasuyuki Suzuki,2010-12-16,2013-06-01,6.3,218,A beautiful kunoichi spy named Hanare is captured for attempting to gather intel on the Hidden Leaf.
192,9,17,"""Neji Chronicles""Transcription: ""Neji Gaiden"" (Japanese: ネジ外伝)",Kanryou Kishikawa,Yuka Miyata,2010-12-23,2013-06-08,5.9,217,"During the Chunin Exam, Neji rests in the medical room, having lost to Naruto. Just as Tenten comes in to check up on him, they see the Leaf Village attacked by Orochimaru and his men."
193,9,18,"""The Man Who Died Twice""Transcription: ""Nido Shinda Otoko"" (Japanese: 二度死んだ男)",Chiyuki Tanaka,Shin Yoshida,2011-01-06,2013-06-15,6.1,215,"On his way home Naruto comes across a rock pasted with a peculiar talisman, which he tears off without thinking. That night, Naruto is surprised to find an amnesic ghost standing near his bed."
194,9,19,"""The Worst Three-Legged Race""Transcription: ""Saiaku no Nininsankyaku"" (Japanese: 最悪の二人三脚)",Gorou Sessha,Yasuyuki Suzuki,2011-01-13,2013-06-22,6.2,223,Team 7 is after a group of thieves who have stolen the precious Golden Statue from the Feudal Lord's sister.
195,9,20,"""Team 10's Teamwork""Transcription: ""Renkei, Daijuppan"" (Japanese: 連携、第十班)",Hiroyuki Tsuchiya,Masahiro Hikokubo,2011-01-20,2013-06-29,5.8,216,Team 7 and Team 10 are assigned to help a village that is troubled by bandits.
196,9,21,"""Drive Towards Darkness""Transcription: ""Yami e no Shissō"" (Japanese: 闇への疾走)",Hiroshi Kimura,Daisuke Watanabe,2011-01-27,2013-07-06,5.9,218,Sasuke remembers meeting a young girl named Naho.
197,10,1,"""The Sixth Hokage Danzo""Transcription: ""Rokudaime Hokage Danzō"" (Japanese: 六代目火影ダンゾウ)",Masaaki Kumagai,Katsuhiko Chiba,2011-02-10,2013-07-13,7.5,320,Naruto wants to help Karui and Omoi find their master but refuses to tell them what he knows about Sasuke.
198,10,2,"""Five Kage Summit's Eve""Transcription: ""Gokage Kaidan Zen'ya"" (Japanese: 五影会談前夜)",Atsushi Nigorikawa,Yuka Miyata,2011-02-10,2013-07-20,7.6,314,"Karui and Omoi of the Hidden Cloud press Naruto to give information regarding Sasuke. Naruto realizes they're motivated by wanting to save their captured master, but decides he cannot sell out his friend. Instead, Naruto offers himself as a punching bag for Karui and Omoi to abuse to their hearts' content."
